"","Name","Team","X","BB.","K.","OPS","ISO","BABIP","Spd","LD.","GB.","FB.","HR.FB","Hard.","H","HR","R","RBI","BB","SB","G","X2B","X3B","CS","AB","O.Swing.","Contact.","NameASCII","PlayerId","MLBAMID","Fantasy","Predicted_Fantasy","Fantasy22"
"1","Jake Cronenworth","SDP",NA,0.088122605,0.185823754,0.689267718,0.148471616,0.266853932,5.76506211791681,0.222222222,0.372222222,0.405555555,0.06849315,0.2561,105,10,54,48,46,6,127,24,7,1,458,0.3098,0.8656,"Jake Cronenworth",18036,630105,181,234.523040613,234.523040613
"2","Yuli Gurriel","MIA",NA,0.079027355,0.133738601,0.663011769,0.11409396,0.271653543,5.13734020923181,0.166666666,0.406976744,0.426356589,0.036363636,0.2868,73,4,32,27,26,4,108,16,3,0,298,0.3328,0.8543,"Yuli Gurriel",19198,493329,121,202.97705545272,202.97705545272
"3","Nolan Schanuel","LAA",NA,0.151515151,0.143939393,0.73179038,0.055045872,0.325842696,1.8137755025,0.280898876,0.494382022,0.224719101,0.05,0.1667,30,1,19,6,20,0,29,3,0,0,109,0.2468,0.85,"Nolan Schanuel",33189,694384,51.5,-23.4292810000001,-23.4292810000001
"4","Wilmer Flores","SFG",NA,0.09030837,0.138766519,0.863267525,0.224691358,0.285714285,0.83364660875,0.214492753,0.318840579,0.466666666,0.142857142,0.2986,115,23,51,60,41,0,126,22,0,0,405,0.3172,0.848,"Wilmer Flores",5827,527038,254,245.37418485284,245.37418485284
"5","Alec Bohm","PHI",NA,0.06873977,0.153846153,0.764608227,0.163082437,0.295555555,2.87754661361602,0.238297872,0.423404255,0.338297872,0.125786163,0.3149,153,20,74,97,42,4,145,31,0,1,558,0.3433,0.8442,"Alec Bohm",21618,664761,294,292.27403553826,292.27403553826
"6","Justin Turner","BOS",NA,0.081469648,0.175718849,0.800245055,0.179211469,0.303944315,3.08593822828649,0.229074889,0.356828193,0.414096916,0.122340425,0.3062,154,23,86,96,51,4,146,31,0,1,558,0.2958,0.8435,"Justin Turner",5235,457759,310.5,290.2274129335,290.2274129335
"7","Vinnie Pasquantino","KCR",NA,0.096153846,0.119230769,0.761553761,0.190476191,0.25,0.802103715,0.215,0.36,0.425,0.105882352,0.393,57,9,24,26,25,0,61,17,0,0,231,0.3586,0.8404,"Vinnie Pasquantino",27676,686469,112,144.58669140704,144.58669140704
"8","Yandy Díaz","TBR",NA,0.108333333,0.156666666,0.931904761,0.192380952,0.367396593,1.75273068648403,0.193995381,0.519630484,0.286374133,0.177419354,0.418,173,22,95,78,65,0,137,35,0,1,525,0.2277,0.8345,"Yandy Diaz",16578,650490,388,318.19801515708,318.19801515708
"9","Gio Urshela","LAA",NA,0.043859649,0.157894736,0.702779143,0.074766355,0.346368715,3.56959699092153,0.215469613,0.480662983,0.303867403,0.036363636,0.2541,64,2,22,24,10,3,62,8,1,2,214,0.4215,0.8302,"Gio Urshela",10681,570482,105,79.87635845272,79.87635845272
"10","Owen Miller","MIL",NA,0.054140127,0.194267515,0.67368179,0.109965636,0.310043668,4.62448733546154,0.205128205,0.418803418,0.376068376,0.056818181,0.312,76,5,29,27,17,13,90,17,0,2,291,0.3517,0.8299,"Owen Miller",24655,680911,132,166.49322926862,166.49322926862
"11","DJ LeMahieu","NYY",NA,0.106761565,0.222419928,0.717744187,0.146881288,0.295264623,3.01074242090664,0.190348525,0.549597855,0.260053619,0.154639175,0.3369,121,15,55,44,60,2,136,22,3,2,497,0.2593,0.8256,"DJ LeMahieu",9874,518934,215.5,275.9871496585,275.9871496585
"12","Josh Naylor","CLE",NA,0.066666666,0.137373737,0.842473406,0.18141593,0.326203208,3.26491327125769,0.20460358,0.427109974,0.368286445,0.118055555,0.335,139,17,52,97,33,10,121,31,0,3,452,0.4263,0.824,"Josh Naylor",18839,647304,293.5,241.9497088861,241.9497088861
"13","Nathaniel Lowe","TEX",NA,0.128453038,0.227900552,0.774622437,0.152487961,0.328828828,2.95696254958557,0.223427331,0.477223427,0.29934924,0.123188405,0.3601,163,17,89,82,93,1,161,38,3,0,623,0.2596,0.82,"Nathaniel Lowe",19566,663993,320,338.2203627931,338.2203627931
"14","Dominic Smith","WSN",NA,0.080204778,0.155290102,0.692162474,0.111954459,0.286384976,2.17947024070999,0.200913242,0.424657534,0.374429223,0.073170731,0.2626,134,12,57,46,47,1,153,21,1,1,527,0.3388,0.8172,"Dominic Smith",15653,642086,220,275.61853506962,275.61853506962
"15","Freddie Freeman","LAD",NA,0.098630136,0.165753424,0.976308036,0.235478807,0.369918699,5.99215624250975,0.276391554,0.353166986,0.370441458,0.150259067,0.3685,211,29,131,102,72,23,161,59,2,1,637,0.3008,0.8154,"Freddie Freeman",5361,518692,521.5,340.43649751634,340.43649751634
"16","Cody Bellinger","CHC",NA,0.071942446,0.15647482,0.881165207,0.218436874,0.319095477,5.51924136155064,0.207547169,0.358490566,0.433962264,0.141304347,0.2925,153,26,95,97,40,20,130,29,1,6,499,0.3531,0.8124,"Cody Bellinger",15998,641355,346.5,237.99508482194,237.99508482194
"17","Eric Hosmer","CHC",NA,0.06,0.25,0.609787234,0.095744681,0.298507462,0.719780215,0.161764705,0.573529411,0.264705882,0.111111111,0.1594,22,2,7,14,6,0,31,3,0,0,94,0.4018,0.8066,"Eric Hosmer",3516,543333,31,-38.26025622278,-38.26025622278
"18","LaMonte Wade Jr.","SFG",NA,0.146435452,0.183044315,0.79006495,0.160839161,0.289719626,3.37376130648438,0.206586826,0.38023952,0.413173652,0.123188405,0.3226,110,17,64,45,76,2,135,14,2,0,429,0.2065,0.8037,"LaMonte Wade Jr.",18126,664774,224.5,259.0566937931,259.0566937931
"19","Rowdy Tellez","MIL",NA,0.099715099,0.245014245,0.666804077,0.160771704,0.248847926,1.18077848375,0.195652173,0.373913043,0.430434782,0.131313131,0.3304,67,13,26,47,35,0,106,9,1,0,311,0.271,0.8014,"Rowdy Tellez",15679,642133,113,199.12325191762,199.12325191762
"20","Ty France","SEA",NA,0.064661654,0.175939849,0.70311127,0.115843271,0.294117647,2.4921786872104,0.233545647,0.418259023,0.348195329,0.073170731,0.2718,147,12,79,58,43,1,158,32,0,0,587,0.3794,0.7992,"Ty France",17982,664034,238,283.87013906962,283.87013906962
"21","Ryan O'Hearn","BAL",NA,0.040760869,0.222826086,0.801294671,0.190751445,0.339920948,4.54203531286573,0.202247191,0.434456928,0.36329588,0.144329896,0.3657,100,14,48,60,15,5,112,22,1,1,346,0.3431,0.797,"Ryan O'Hearn",16442,656811,203.5,226.45054507792,226.45054507792
"22","Carlos Santana","- - -",NA,0.105008077,0.168012924,0.747346159,0.189090909,0.25526932,4.02936089016316,0.182222222,0.437777777,0.38,0.134502923,0.3222,132,23,78,86,65,6,146,33,1,0,550,0.2739,0.7946,"Carlos Santana",2396,467793,263.5,279.30420667346,279.30420667346
"23","Kole Calhoun","CLE",NA,0.074712643,0.212643678,0.657405373,0.159235669,0.24137931,1.81676322708759,0.204918032,0.336065573,0.459016393,0.107142857,0.2787,34,6,18,25,13,0,43,7,0,1,157,0.3208,0.7896,"Kole Calhoun",11200,594777,53,35.18166414214,35.18166414214
"24","Jesús Aguilar","OAK",NA,0.069565217,0.269565217,0.665317138,0.163461538,0.260869565,0.23901098375,0.189189189,0.351351351,0.459459459,0.147058823,0.2162,23,5,8,9,8,0,36,2,0,0,104,0.3667,0.7885,"Jesus Aguilar",11342,542583,38,-8.37070070854003,-8.37070070854003
"25","Vladimir Guerrero Jr.","TOR",NA,0.098240469,0.146627565,0.788096374,0.179401993,0.277083333,2.41001379922534,0.183794466,0.462450592,0.35375494,0.145251396,0.3636,159,26,78,94,67,5,156,30,0,3,602,0.3246,0.7869,"Vladimir Guerrero Jr.",19611,665489,316.5,316.78583600792,316.78583600792
"26","Spencer Steer","CIN",NA,0.102255639,0.209022556,0.820308502,0.192439862,0.318396226,4.68911710592693,0.194630872,0.375838926,0.429530201,0.119791666,0.3221,158,23,74,86,68,15,156,37,3,3,582,0.2767,0.7832,"Spencer Steer",26323,668715,338,296.54006716332,296.54006716332
"27","Connor Joe","PIT",NA,0.105932203,0.233050847,0.760290556,0.174334141,0.310580204,4.41111142211192,0.228476821,0.360927152,0.410596026,0.088709677,0.3553,102,11,63,42,50,3,133,31,4,5,413,0.2376,0.7826,"Connor Joe",16572,656582,189.5,261.47273157854,261.47273157854
"28","Jon Singleton","- - -",NA,0.123809523,0.219047619,0.530402929,0.098901099,0.19402985,1.6813186775,0.173913043,0.347826086,0.478260869,0.06060606,0.2464,15,2,11,12,13,0,36,3,0,0,91,0.2932,0.7821,"Jon Singleton",10441,572138,15,2.44948842119999,2.44948842119999
