Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,Contact%,NameASCII,PlayerId,MLBAMID
"Luis Arraez","MIN",,0.082918739,0.071310116,0.795268022,0.104204753,0.330661322,3.030197556609676,0.258382642,0.412228796,0.32938856,0.047904191,0.2781,173,8,88,49,50,4,144,31,1,4,547,0.2855,0.9408,"Luis Arraez",18568,650333
"DJ LeMahieu","NYY",,0.123844731,0.131238447,0.734281068,0.115631691,0.284974093,2.832096350767211,0.184343434,0.532828282,0.282828282,0.107142857,0.2281,122,12,74,46,67,4,125,18,0,3,467,0.2759,0.8738,"DJ LeMahieu",9874,518934
"Yuli Gurriel","HOU",,0.051369863,0.125,0.647304259,0.117431193,0.265524625,3.8332618238415783,0.185263157,0.406315789,0.408421052,0.041237113,0.2716,132,8,53,53,30,8,146,40,0,0,545,0.3787,0.8727,"Yuli Gurriel",19198,493329
"Vinnie Pasquantino","KCR",,0.117449664,0.114093959,0.832162738,0.15503876,0.305555555,1.4586923626459423,0.191111111,0.408888888,0.4,0.111111111,0.3717,76,10,25,26,35,1,72,10,0,0,258,0.2894,0.8553,"Vinnie Pasquantino",27676,686469
"Owen Miller","CLE",,0.06779661,0.197033898,0.652262551,0.108490566,0.290419161,3.5563170675317313,0.229411764,0.432352941,0.338235294,0.052173913,0.25,103,6,53,51,32,2,130,26,1,0,424,0.3742,0.8375,"Owen Miller",24655,680911
"LaMonte Wade Jr.","SFG",,0.103585657,0.20318725,0.664667887,0.152073733,0.232704402,3.8100786095413985,0.185628742,0.317365269,0.497005988,0.096385542,0.2367,45,8,29,26,26,1,77,7,1,0,217,0.2733,0.8333,"LaMonte Wade Jr.",18126,664774
"Eric Hosmer","- - -",,0.088305489,0.15274463,0.715707825,0.113157895,0.304207119,0.9491548462499999,0.179810725,0.567823343,0.25236593,0.1,0.2744,102,8,38,44,37,0,104,19,0,0,380,0.3706,0.8329,"Eric Hosmer",3516,543333
"Freddie Freeman","LAD",,0.118644067,0.144067796,0.918217569,0.18627451,0.358870967,4.802820884407389,0.274661508,0.386847195,0.338491295,0.12,0.3694,199,21,117,100,84,13,159,47,2,3,612,0.3131,0.8305,"Freddie Freeman",5361,518692
"Wilmer Flores","SFG",,0.098006644,0.171096345,0.709900331,0.165714286,0.246341463,2.0881696400000003,0.191142191,0.342657342,0.466200466,0.095,0.2967,120,19,72,71,59,0,151,28,1,0,525,0.3066,0.8264,"Wilmer Flores",5827,527038
"Ty France","SEA",,0.057096247,0.153344208,0.773806981,0.161524501,0.29638009,1.71213424625,0.214285714,0.478354978,0.307359307,0.14084507,0.303,151,20,65,83,35,0,140,27,1,0,551,0.3583,0.8223,"Ty France",17982,664034
"Alex Kirilloff","MIN",,0.032051282,0.23076923,0.651433691,0.111111111,0.308411214,1.327067665,0.145454545,0.554545454,0.3,0.09090909,0.3091,36,3,14,21,5,0,45,7,0,0,144,0.3501,0.8188,"Alex Kirilloff",20325,666135
"Harold Castro","DET",,0.038374717,0.178329571,0.68095238,0.109523809,0.31845238,2.242467192048144,0.257309941,0.444444444,0.298245614,0.06862745,0.237,114,7,37,47,17,0,120,21,2,1,420,0.4222,0.818,"Harold Castro",14691,605612
"Josh Naylor","CLE",,0.07630522,0.16064257,0.77139292,0.195991091,0.268361581,2.879753205054225,0.173796791,0.489304812,0.336898395,0.158730158,0.3503,115,20,47,79,38,6,122,28,0,1,449,0.3752,0.8135,"Josh Naylor",18839,647304
"Donovan Solano","CIN",,0.0625,0.200657894,0.723707875,0.100719425,0.348837209,0.7146656462500001,0.273972602,0.447488584,0.278538812,0.06557377,0.3288,79,4,22,24,19,0,80,16,0,0,278,0.3616,0.8129,"Donovan Solano",8623,456781
"Josh VanMeter","PIT",,0.098958333,0.234375,0.55802266,0.105263158,0.232,6.027385841505853,0.188976377,0.377952755,0.433070866,0.054545454,0.2813,32,3,15,14,19,4,67,5,2,0,171,0.189,0.8116,"Josh VanMeter",15170,642165
"Matt Duffy","LAA",,0.06882591,0.202429149,0.619095815,0.061403508,0.3125,0.5595238025,0.207865168,0.466292134,0.325842696,0.034482758,0.236,57,2,14,16,17,0,77,8,0,0,228,0.3073,0.8103,"Matt Duffy",13836,622110
"Josh Bell","- - -",,0.125193199,0.157650695,0.783902691,0.155797102,0.296127562,2.4488131377832048,0.186403508,0.504385964,0.309210526,0.120567375,0.2961,147,17,78,71,81,0,156,29,3,1,552,0.2907,0.806,"Josh Bell",13145,605137
"Yoshi Tsutsugo","PIT",,0.098445595,0.259067357,0.478116427,0.058823529,0.221311475,0.7406832212500001,0.153225806,0.475806451,0.370967741,0.04347826,0.2339,29,2,11,19,19,0,50,4,0,0,170,0.2863,0.8053,"Yoshi Tsutsugo",27459,660294
