Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,O-Contact%,NameASCII,PlayerId,MLBAMID
"Willians Astudillo","MIN",,0.013888888,0.055555555,0.634259259,0.139423077,0.221052631,0.9067460274999999,0.172588832,0.40609137,0.421319796,0.084337349,0.2437,49,7,17,21,3,0,73,8,0,0,208,0.4795,0.8914,"Willians Astudillo",15608,553902
"Luis Arraez","MIN",,0.089770354,0.100208768,0.73316196,0.081775701,0.322916666,4.357894199809305,0.261658031,0.458549222,0.279792746,0.018518518,0.2824,126,2,58,42,43,2,121,17,6,2,428,0.2756,0.8462,"Luis Arraez",18568,650333
"Tommy La Stella","SFG",,0.074380165,0.107438016,0.712878787,0.154545454,0.255319148,2.06709955875,0.206185567,0.43298969,0.360824742,0.1,0.2872,55,7,26,27,18,0,76,11,1,0,220,0.2486,0.8406,"Tommy La Stella",12371,600303
"David Fletcher","LAA",,0.046616541,0.090225563,0.621701483,0.06230032,0.286725663,5.200526274676934,0.234458259,0.484902309,0.280639431,0.012658227,0.1728,164,2,74,47,31,15,157,27,3,3,626,0.327,0.8346,"David Fletcher",17992,664058
"Michael Brantley","HOU",,0.064960629,0.104330708,0.799304937,0.125799574,0.337408312,3.4262487299851125,0.26201923,0.459134615,0.278846153,0.068965517,0.3453,146,8,68,47,33,1,121,29,3,0,469,0.2871,0.8311,"Michael Brantley",4106,488726
"Joe Panik","- - -",,0.066147859,0.132295719,0.549523305,0.076271187,0.23,2.737306001847004,0.222772277,0.450495049,0.326732673,0.045454545,0.2255,49,3,17,18,17,2,95,9,0,0,236,0.2366,0.8258,"Joe Panik",11936,605412
"Yuli Gurriel","HOU",,0.097520661,0.112396694,0.845735224,0.143396226,0.335511982,1.9664037189140138,0.202531645,0.4092827,0.388185654,0.081521739,0.3376,169,15,83,81,59,1,143,31,0,1,530,0.2977,0.8191,"Yuli Gurriel",19198,493329
"Nick Madrigal","CHW",,0.05116279,0.079069767,0.773837209,0.12,0.324175824,4.951625084673967,0.203296703,0.598901098,0.197802197,0.055555555,0.2174,61,2,30,21,11,1,54,10,4,2,200,0.3289,0.8163,"Nick Madrigal",20521,663611
"Adam Frazier","- - -",,0.07511737,0.10798122,0.778669761,0.105719237,0.339285714,4.825884288905476,0.293885601,0.41025641,0.295857988,0.033333333,0.2383,176,5,83,43,48,10,155,36,5,5,577,0.2982,0.8015,"Adam Frazier",15223,624428
"Luis Guillorme","NYM",,0.147435897,0.147435897,0.684799608,0.045454545,0.314814814,1.378111217441608,0.203703703,0.518518518,0.277777777,0.033333333,0.2545,35,1,13,5,23,0,69,3,0,2,132,0.2554,0.8,"Luis Guillorme",16451,641645
