Name,Team,,BB%,K%,OPS,ISO,BABIP,Spd,LD%,GB%,FB%,HR/FB,Hard%,H,HR,R,RBI,BB,SB,G,2B,3B,CS,AB,O-Swing%,O-Contact%,NameASCII,PlayerId,MLBAMID
"Luis Arraez","MIA",,0.056726094,0.055105348,0.861498256,0.114982578,0.362101313,2.863228571049998,0.28465804,0.428835489,0.286506469,0.064516129,0.2978,203,10,71,69,35,3,147,30,3,2,574,0.3571,0.9145,"Luis Arraez",18568,650333
"Nick Madrigal","CHC",,0.034013605,0.081632653,0.663270536,0.088888889,0.282786885,5.944650140697359,0.191836734,0.559183673,0.248979591,0.032786885,0.2311,71,2,34,28,10,10,92,16,1,2,270,0.3372,0.8522,"Nick Madrigal",20521,663611
"Myles Straw","CLE",,0.081081081,0.187258687,0.597318046,0.058441558,0.294594594,5.85803274131681,0.221311475,0.472677595,0.306010928,0.008928571,0.1804,110,1,52,29,42,20,147,18,3,6,462,0.2707,0.8221,"Myles Straw",17620,664702
"Sal Frelick","MIL",,0.125560538,0.165919282,0.691592514,0.104712042,0.285714285,6.057811691477959,0.16025641,0.525641025,0.314102564,0.061224489,0.2038,47,3,29,24,28,7,57,9,1,0,191,0.3307,0.8166,"Sal Frelick",29622,686217
"Nico Hoerner","CHC",,0.07122093,0.120639534,0.729309375,0.100161551,0.312030075,6.8255535943377605,0.19074074,0.468518518,0.34074074,0.048913043,0.2343,175,9,98,68,49,43,150,27,4,7,619,0.3352,0.807,"Nico Hoerner",21479,663538
"Ildemaro Vargas","WSN",,0.066433566,0.069930069,0.666482344,0.110687023,0.259414225,3.6839017973477466,0.163865546,0.56722689,0.268907563,0.0625,0.252,66,4,32,31,19,1,86,13,2,1,262,0.3084,0.8047,"Ildemaro Vargas",13324,545121
"Bryson Stott","PHI",,0.0609375,0.15625,0.747441915,0.138461538,0.311715481,6.021321575192227,0.208588957,0.464212678,0.327198364,0.09375,0.3036,164,15,78,62,39,31,151,32,2,3,585,0.3232,0.8034,"Bryson Stott",26294,681082
"Alejandro Kirk","TOR",,0.099526066,0.106635071,0.691650103,0.107526881,0.264797507,0.79738469625,0.197568389,0.501519756,0.300911854,0.08080808,0.307,93,8,34,43,42,0,123,16,0,0,372,0.2846,0.8028,"Alejandro Kirk",22581,672386
"Steven Kwan","CLE",,0.097493036,0.104456824,0.71021279,0.101880878,0.294326241,6.262411581695549,0.252669039,0.450177935,0.297153024,0.029940119,0.1842,171,5,93,54,70,21,158,36,7,3,638,0.2479,0.7969,"Steven Kwan",24610,680757
"Richie Palacios","STL",,0.058823529,0.107843137,0.823059725,0.258064516,0.233766233,3.2808954688778176,0.13253012,0.530120481,0.337349397,0.214285714,0.2976,24,6,9,16,6,2,32,6,0,0,93,0.2543,0.7966,"Richie Palacios",24589,680700
